[2024-10-17 07:56:34,524: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 07:56:34,525: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 07:56:34,527: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 07:56:34,527: INFO: common: created directory at: artifacts]
[2024-10-17 07:56:34,528: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 07:57:09,578: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 07:57:09,580: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 07:57:09,582: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 07:57:09,583: INFO: common: created directory at: artifacts]
[2024-10-17 07:57:09,583: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 07:57:15,581: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 07:57:15,582: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 07:57:15,587: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 07:57:15,588: INFO: common: created directory at: artifacts]
[2024-10-17 07:57:15,588: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 07:58:03,950: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 07:58:03,953: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 07:58:03,955: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 07:58:03,956: INFO: common: created directory at: artifacts]
[2024-10-17 07:58:03,957: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 07:58:59,763: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 07:58:59,768: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 07:58:59,774: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 07:58:59,776: INFO: common: created directory at: artifacts]
[2024-10-17 07:58:59,778: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 07:59:08,167: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 07:59:08,169: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 07:59:08,171: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 07:59:08,172: INFO: common: created directory at: artifacts]
[2024-10-17 07:59:08,173: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 07:59:41,793: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 07:59:41,795: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 07:59:41,797: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 07:59:41,798: INFO: common: created directory at: artifacts]
[2024-10-17 07:59:41,799: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:00:16,268: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:00:16,270: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:00:16,273: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:00:16,274: INFO: common: created directory at: artifacts]
[2024-10-17 08:00:16,274: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:00:49,378: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:00:49,380: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:00:49,382: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:00:49,383: INFO: common: created directory at: artifacts]
[2024-10-17 08:00:49,384: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:00:58,793: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:00:58,795: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:00:58,797: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:00:58,798: INFO: common: created directory at: artifacts]
[2024-10-17 08:00:58,799: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:01:06,370: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:01:06,372: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:01:06,374: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:01:06,375: INFO: common: created directory at: artifacts]
[2024-10-17 08:01:06,375: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:02:20,199: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:02:20,203: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:02:20,207: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:02:20,208: INFO: common: created directory at: artifacts]
[2024-10-17 08:02:20,208: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:02:23,790: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:02:23,792: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:02:23,794: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:02:23,795: INFO: common: created directory at: artifacts]
[2024-10-17 08:02:23,796: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:02:31,609: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:02:31,611: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:02:31,614: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:02:31,615: INFO: common: created directory at: artifacts]
[2024-10-17 08:02:31,616: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:03:19,342: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:03:19,344: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:03:19,346: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:03:19,350: INFO: common: created directory at: artifacts]
[2024-10-17 08:03:19,352: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:03:40,048: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:03:40,051: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:03:40,058: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:03:40,059: INFO: common: created directory at: artifacts]
[2024-10-17 08:03:40,060: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:04:13,083: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:04:13,085: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:04:13,087: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:04:13,088: INFO: common: created directory at: artifacts]
[2024-10-17 08:04:13,089: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:06:27,584: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:06:27,586: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:06:27,590: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:06:27,595: INFO: common: created directory at: artifacts]
[2024-10-17 08:06:27,596: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:21:12,769: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:21:12,771: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:21:12,773: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:21:12,774: INFO: common: created directory at: artifacts]
[2024-10-17 08:21:12,775: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:21:25,557: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:21:25,559: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:21:25,562: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:21:25,563: INFO: common: created directory at: artifacts]
[2024-10-17 08:21:25,563: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:29:12,944: INFO: main: >>>>> stage Data Ingestion Stage started]
[2024-10-17 08:29:12,948: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:29:12,948: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:29:12,949: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:29:12,949: INFO: common: created directory at: artifacts]
[2024-10-17 08:29:13,807: INFO: data_ingestion: File downloaded and saved as artifacts/data_ingestion/data.zip!]
[2024-10-17 08:29:13,814: INFO: main: >>>>> stage Data Ingestion Stage completed]
[2024-10-17 08:29:13,814: INFO: main: >>>>> Stage Data Validation Stage started]
[2024-10-17 08:29:13,814: ERROR: main: DataValidationTrainingPipeline.main() missing 1 required positional argument: 'self']
Traceback (most recent call last):
  File "/Users/karthiksridhar/Documents/End2End-ML-Project/main.py", line 20, in <module>
    obj.main()
TypeError: DataValidationTrainingPipeline.main() missing 1 required positional argument: 'self'
[2024-10-17 08:30:12,431: INFO: main: >>>>> stage Data Ingestion Stage started]
[2024-10-17 08:30:12,434: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:30:12,434: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:30:12,435: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:30:12,435: INFO: common: created directory at: artifacts]
[2024-10-17 08:30:12,820: INFO: data_ingestion: File downloaded and saved as artifacts/data_ingestion/data.zip!]
[2024-10-17 08:30:12,822: INFO: main: >>>>> stage Data Ingestion Stage completed]
[2024-10-17 08:30:12,822: INFO: main: >>>>> Stage Data Validation Stage started]
[2024-10-17 08:30:12,823: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 08:30:12,824: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 08:30:12,825: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 08:30:12,825: INFO: common: created directory at: artifacts]
[2024-10-17 08:30:12,825: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 08:30:12,829: INFO: main: >>>>> Stage Data Validation Stage completed]
[2024-10-17 19:17:35,571: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 19:17:35,579: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 19:17:35,584: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 19:17:35,585: INFO: common: created directory at: artifacts]
[2024-10-17 19:17:35,586: INFO: common: created directory at: artifacts/data_transformation]
[2024-10-17 19:17:35,729: INFO: 3498641678: Split data into train and test]
[2024-10-17 19:17:35,730: INFO: 3498641678: Training data shape: (1199, 12)]
[2024-10-17 19:17:35,731: INFO: 3498641678: Testing data shape: (400, 12)]
[2024-10-17 19:32:40,636: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 19:32:40,639: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 19:32:40,640: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 19:32:40,640: INFO: common: created directory at: artifacts]
[2024-10-17 19:32:40,641: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 19:32:40,647: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 19:35:25,265: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 19:35:25,268: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 19:35:25,271: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 19:35:25,272: INFO: common: created directory at: artifacts]
[2024-10-17 19:35:25,273: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 19:46:59,307: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 19:46:59,312: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 19:46:59,316: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 19:46:59,317: INFO: common: created directory at: artifacts]
[2024-10-17 19:46:59,317: INFO: common: created directory at: artifacts/data_validation]
[2024-10-17 19:46:59,350: INFO: 1298441739: None]
[2024-10-17 19:57:44,184: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-17 19:57:44,187: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-17 19:57:44,189: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-10-17 19:57:44,190: INFO: common: created directory at: artifacts]
[2024-10-17 19:57:44,190: INFO: common: created directory at: artifacts/data_validation]
